driver,lap,time
4,1,1:34.494
4,2,1:30.812
4,3,1:30.606
4,4,1:30.012
4,5,1:30.318
4,6,1:30.039
4,7,1:30.007
4,8,1:30.164
4,9,1:30.303
4,10,1:32.825
4,11,1:48.222
4,12,1:29.323
4,13,1:29.809
4,14,1:29.778
4,15,1:29.856
4,16,1:29.898
4,17,1:30.316
4,18,1:30.475
4,19,1:32.615
4,20,1:45.987
4,21,1:28.878
4,22,1:28.737
4,23,1:29.003
4,24,1:29.670
4,25,1:29.332
4,26,1:29.538
4,27,1:29.543
4,28,1:29.828
4,29,1:32.309
4,30,1:48.274
4,31,1:30.417
4,32,1:30.511
4,33,1:31.255
4,34,1:31.092
4,35,1:30.364
4,36,1:31.462
4,37,1:30.712
4,38,1:30.601
4,39,1:32.837
4,40,1:47.534
4,41,1:30.526
4,42,1:29.989
4,43,1:29.817
4,44,1:29.977
4,45,1:30.299
4,46,1:30.106
4,47,1:30.064
4,48,1:30.642
4,49,1:30.557
4,50,1:31.085
4,51,1:30.615
4,52,1:30.523
4,53,1:31.456
4,54,1:30.208
4,55,1:30.475
4,56,1:30.248
4,57,1:30.531
4,58,1:30.362
4,59,1:30.581
4,60,1:30.491
4,61,1:30.038
4,62,1:30.912
4,63,1:32.931
4,64,1:31.821
4,65,1:31.846
20,1,1:35.274
20,2,1:30.633
20,3,1:30.549
20,4,1:30.346
20,5,1:30.120
20,6,1:30.023
20,7,1:30.062
20,8,1:30.326
20,9,1:32.911
20,10,1:47.780
20,11,1:30.311
20,12,1:29.673
20,13,1:29.497
20,14,1:29.944
20,15,1:29.723
20,16,1:29.949
20,17,1:30.170
20,18,1:33.001
20,19,1:44.115
20,20,1:28.061
20,21,1:27.394
20,22,1:28.078
20,23,1:28.571
20,24,1:28.782
20,25,1:28.511
20,26,1:28.544
20,27,1:28.447
20,28,1:28.394
20,29,1:28.824
20,30,1:29.704
20,31,1:28.998
20,32,1:29.161
20,33,1:30.247
20,34,1:32.572
20,35,1:46.533
20,36,1:28.563
20,37,1:28.689
20,38,1:28.562
20,39,1:28.865
20,40,1:28.953
20,41,1:28.802
20,42,1:28.193
20,43,1:27.933
20,44,1:28.987
20,45,1:28.007
20,46,1:28.087
20,47,1:28.177
20,48,1:31.072
20,49,1:44.905
20,50,1:27.774
20,51,1:27.456
20,52,1:27.839
20,53,1:27.215
20,54,1:27.639
20,55,1:28.207
20,56,1:27.871
20,57,1:27.557
20,58,1:27.435
20,59,1:27.474
20,60,1:27.162
20,61,1:27.205
20,62,1:27.675
20,63,1:27.480
20,64,1:28.065
20,65,1:27.842
20,66,1:28.382
17,1,1:36.329
17,2,1:30.827
17,3,1:30.082
17,4,1:30.197
17,5,1:30.196
17,6,1:30.280
17,7,1:30.055
17,8,1:30.497
17,9,1:30.568
17,10,1:34.633
17,11,1:48.380
17,12,1:29.526
17,13,1:29.314
17,14,1:29.453
17,15,1:29.664
17,16,1:29.453
17,17,1:29.716
17,18,1:30.192
17,19,1:33.220
17,20,1:44.615
17,21,1:28.259
17,22,1:28.511
17,23,1:29.029
17,24,1:29.709
17,25,1:29.306
17,26,1:29.728
17,27,1:29.478
17,28,1:29.806
17,29,1:32.309
17,30,1:48.174
17,31,1:30.346
17,32,1:30.410
17,33,1:31.480
17,34,1:31.252
17,35,1:30.655
17,36,1:31.215
17,37,1:30.556
17,38,1:30.475
17,39,1:30.426
17,40,1:28.657
17,41,1:29.789
17,42,1:29.363
17,43,1:28.830
17,44,1:29.795
17,45,1:29.724
17,46,1:30.071
17,47,1:32.310
17,48,1:44.453
17,49,1:27.461
17,50,1:27.187
17,51,1:27.519
17,52,1:27.187
17,53,1:28.386
17,54,1:28.104
17,55,1:27.703
17,56,1:27.670
17,57,1:28.162
17,58,1:28.438
17,59,1:27.452
17,60,1:27.554
17,61,1:28.460
17,62,1:28.789
17,63,1:28.929
17,64,1:29.607
17,65,1:30.118
17,66,1:31.228
1,1,1:36.991
1,2,1:31.189
1,3,1:30.239
1,4,1:30.011
1,5,1:30.083
1,6,1:30.127
1,7,1:30.183
1,8,1:30.464
1,9,1:30.526
1,10,1:30.838
1,11,1:32.882
1,12,1:45.417
1,13,1:29.076
1,14,1:29.875
1,15,1:29.844
1,16,1:29.976
1,17,1:30.001
1,18,1:30.482
1,19,1:29.603
1,20,1:28.024
1,21,1:28.595
1,22,1:29.022
1,23,1:31.408
1,24,1:45.362
1,25,1:27.841
1,26,1:28.047
1,27,1:28.150
1,28,1:27.706
1,29,1:28.090
1,30,1:29.879
1,31,1:28.459
1,32,1:29.610
1,33,1:29.338
1,34,1:30.054
1,35,1:32.869
1,36,1:46.276
1,37,1:28.458
1,38,1:28.371
1,39,1:28.343
1,40,1:28.705
1,41,1:28.516
1,42,1:28.210
1,43,1:28.072
1,44,1:29.434
1,45,1:27.497
1,46,1:27.827
1,47,1:28.268
1,48,1:29.217
1,49,1:30.037
1,50,1:45.301
1,51,1:27.881
1,52,1:26.727
1,53,1:26.911
1,54,1:27.386
1,55,1:28.058
1,56,1:27.879
1,57,1:27.548
1,58,1:27.422
1,59,1:27.655
1,60,1:27.185
1,61,1:27.167
1,62,1:27.641
1,63,1:27.534
1,64,1:27.953
1,65,1:27.989
1,66,1:28.202
808,1,1:38.084
808,2,1:32.394
808,3,1:31.620
808,4,1:31.181
808,5,1:31.523
808,6,1:31.689
808,7,1:31.929
808,8,1:31.958
808,9,1:32.097
808,10,1:32.500
808,11,1:35.398
808,12,1:50.762
808,13,1:32.239
808,14,1:31.189
808,15,1:31.863
808,16,1:32.378
808,17,1:31.257
808,18,1:31.005
808,19,1:31.007
808,20,1:30.991
808,21,1:31.477
808,22,1:31.658
808,23,1:33.845
808,24,1:31.765
808,25,1:32.712
808,26,1:35.302
808,27,1:51.842
808,28,1:29.634
808,29,1:30.318
808,30,1:30.659
808,31,1:30.605
808,32,1:31.546
808,33,1:30.125
808,34,1:30.196
808,35,1:29.592
808,36,1:31.077
808,37,1:30.727
808,38,1:30.390
808,39,1:31.013
808,40,1:31.330
