lap,time
1,1:34.494
2,1:30.812
3,1:30.606
4,1:30.012
5,1:30.318
6,1:30.039
7,1:30.007
8,1:30.164
9,1:30.303
10,1:32.825
11,1:48.222
12,1:29.323
13,1:29.809
14,1:29.778
15,1:29.856
16,1:29.898
17,1:30.316
18,1:30.475
19,1:32.615
20,1:45.987
21,1:28.878
22,1:28.737
23,1:29.003
24,1:29.670
25,1:29.332
26,1:29.538
27,1:29.543
28,1:29.828
29,1:32.309
30,1:48.274
31,1:30.417
32,1:30.511
33,1:31.255
34,1:31.092
35,1:30.364
36,1:31.462
37,1:30.712
38,1:30.601
39,1:32.837
40,1:47.534
41,1:30.526
42,1:29.989
43,1:29.817
44,1:29.977
45,1:30.299
46,1:30.106
47,1:30.064
48,1:30.642
49,1:30.557
50,1:31.085
51,1:30.615
52,1:30.523
53,1:31.456
54,1:30.208
55,1:30.475
56,1:30.248
57,1:30.531
58,1:30.362
59,1:30.581
60,1:30.491
61,1:30.038
62,1:30.912
63,1:32.931
64,1:31.821
65,1:31.846
