driver,lap,time
830,1,1:32.190
844,1,1:33.119
857,1,1:33.882
846,1,1:34.309
847,1,1:34.776
852,1,1:35.435
4,1,1:36.044
842,1,1:36.636
1,1,1:37.227
815,1,1:37.745
839,1,1:38.197
840,1,1:38.721
807,1,1:39.291
832,1,1:39.674
817,1,1:39.948
822,1,1:40.300
848,1,1:40.625
855,1,1:40.960
825,1,1:41.597
858,1,1:42.022
830,2,1:30.710
857,2,1:31.075
844,2,1:31.117
846,2,1:31.430
847,2,1:31.598
815,2,1:31.672
852,2,1:31.674
1,2,1:31.727
4,2,1:31.755
842,2,1:31.774
839,2,1:31.810
840,2,1:31.963
832,2,1:31.980
855,2,1:32.533
817,2,1:32.742
822,2,1:32.770
807,2,1:32.921
825,2,1:33.067
848,2,1:33.560
858,2,1:33.582
830,3,1:30.408
815,3,1:30.469
844,3,1:30.500
847,3,1:30.598
857,3,1:30.631
852,3,1:30.674
846,3,1:30.714
4,3,1:30.823
842,3,1:30.824
840,3,1:30.927
839,3,1:31.033
832,3,1:31.308
807,3,1:31.351
858,3,1:31.400
817,3,1:31.519
1,3,1:31.526
822,3,1:31.698
825,3,1:31.711
848,3,1:31.768
855,3,1:31.817
846,4,1:30.188
4,4,1:30.660
830,4,1:30.716
852,4,1:30.757
842,4,1:30.758
815,4,1:30.759
847,4,1:30.797
1,4,1:30.844
844,4,1:30.884
839,4,1:30.988
840,4,1:31.017
832,4,1:31.099
822,4,1:31.281
817,4,1:31.284
855,4,1:31.303
807,4,1:31.374
858,4,1:31.487
848,4,1:31.591
825,4,1:31.593
857,4,1:31.816
857,5,1:30.419
846,5,1:30.456
844,5,1:30.459
830,5,1:30.552
852,5,1:30.685
847,5,1:30.689
842,5,1:30.764
4,5,1:30.773
815,5,1:30.797
1,5,1:30.844
839,5,1:30.994
840,5,1:31.094
832,5,1:31.158
807,5,1:31.227
817,5,1:31.326
848,5,1:31.422
855,5,1:31.440
822,5,1:31.445
858,5,1:32.275
825,5,1:33.881
830,6,1:30.440
846,6,1:30.450
844,6,1:30.544
1,6,1:30.634
815,6,1:30.682
839,6,1:30.689
852,6,1:30.786
840,6,1:30.795
