driver,lap,time
846,1,1:34.309
846,2,1:31.430
846,3,1:30.714
846,4,1:30.188
846,5,1:30.456
846,6,1:30.450
846,7,1:30.533
846,8,1:30.676
846,9,1:30.613
846,10,1:30.912
846,11,1:31.228
846,12,1:31.189
846,13,1:31.013
846,14,1:32.394
846,15,1:53.200
846,16,1:29.654
846,17,1:30.133
846,18,1:30.044
846,19,1:29.727
846,20,1:29.902
846,21,1:29.781
846,22,1:30.393
846,23,1:30.240
846,24,1:29.791
846,25,1:29.637
846,26,1:29.308
846,27,1:29.480
846,28,1:29.469
846,29,1:29.426
846,30,1:29.500
846,31,1:30.010
846,32,1:29.842
846,33,1:31.445
846,34,1:47.697
846,35,1:28.736
846,36,1:29.881
846,37,1:29.220
846,38,1:29.596
846,39,1:29.432
846,40,1:29.243
846,41,1:29.064
846,42,1:28.522
846,43,1:28.848
846,44,1:28.539
846,45,1:28.164
846,46,1:28.187
846,47,1:28.568
846,48,1:29.763
846,49,1:28.797
846,50,1:28.634
846,51,1:28.526
846,52,1:28.839
846,53,1:28.557
846,54,1:28.590
846,55,1:28.458
846,56,1:28.572
846,57,1:28.800
846,58,1:28.588
