driver,lap,time
840,1,1:38.721
840,2,1:31.963
840,3,1:30.927
840,4,1:31.017
840,5,1:31.094
840,6,1:30.795
840,7,1:31.056
840,8,1:30.988
840,9,1:31.195
840,10,1:31.074
840,11,1:31.367
840,12,1:31.555
840,13,1:31.631
840,14,1:31.693
840,15,1:31.312
840,16,1:31.293
840,17,1:30.500
840,18,1:31.011
840,19,1:30.640
840,20,1:30.655
840,21,1:31.623
840,22,1:32.915
840,23,1:48.971
840,24,1:30.353
840,25,1:29.870
840,26,1:28.860
840,27,1:30.191
840,28,1:30.312
840,29,1:29.602
840,30,1:29.736
840,31,1:29.706
840,32,1:29.831
840,33,1:30.128
840,34,1:29.921
840,35,1:29.902
840,36,1:30.486
840,37,1:30.751
840,38,1:30.403
840,39,1:30.305
840,40,1:30.099
840,41,1:29.991
840,42,1:31.640
840,43,1:48.240
840,44,1:28.050
840,45,1:28.177
840,46,1:28.239
840,47,1:28.535
840,48,1:28.639
840,49,1:29.030
840,50,1:28.810
840,51,1:28.801
840,52,1:28.864
840,53,1:29.205
840,54,1:29.301
840,55,1:29.458
840,56,1:29.655
840,57,1:29.486
840,58,1:29.683
